Unnamed: 0,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre
2708,9/25/2009,I Hope They Serve Beer in Hell,7000000.0,1429299.0,1429453.0,Other,R,Comedy
2710,5/7/2010,Mother and Child,7000000.0,1110509.0,6537179.0,Other,R,Drama
2711,7/12/1996,Les Visiteurs,7000000.0,659000.0,98754000.0,Miramax,R,Comedy
2712,10/2/2015,Freeheld,7000000.0,546201.0,1732228.0,Lionsgate,PG-13,Drama
2713,4/2/2014,Dom Hemingway,7000000.0,523511.0,1857458.0,Other,R,Comedy
2714,7/30/2010,The Extra Man,7000000.0,453377.0,492108.0,Other,R,Comedy
2716,3/13/1998,Chairman of the Board,7000000.0,306715.0,306715.0,Other,PG-13,Comedy
2717,2/14/2003,Gerry,7000000.0,254683.0,719699.0,Other,R,Drama
2720,9/21/2012,House at the End of the Street,6900000.0,31611916.0,44103982.0,Other,PG-13,Horror
2721,9/24/1993,Dazed and Confused,6900000.0,7950889.0,7950889.0,Universal,R,Comedy
2722,9/17/2010,Incendies,6800000.0,6857096.0,16038343.0,Other,R,Drama
2723,8/5/2005,The Chumscrubber,6800000.0,49526.0,49526.0,Other,R,Drama
2724,9/19/2008,Tropa de Elite,6537890.0,8744.0,14319195.0,Other,R,Action
2725,10/3/2014,Annabelle,6500000.0,84273813.0,256862920.0,Warner Bros.,R,Horror
2726,7/12/1991,Boyz n the Hood,6500000.0,56190094.0,56215095.0,Sony Pictures,R,Drama
2727,7/24/1987,La Bamba,6500000.0,54215416.0,54215416.0,Sony Pictures,PG-13,Drama
2728,5/22/1981,The Four Seasons,6500000.0,42488161.0,42488161.0,Universal,PG,Comedy
2729,4/2/1993,The Adventures of Huck Finn,6500000.0,24103594.0,24103594.0,Walt Disney,PG,Adventure
2730,4/7/2006,Friends with Money,6500000.0,13368437.0,18110152.0,Other,R,Comedy
2731,10/22/1999,Bats,6500000.0,10155691.0,10155691.0,Sony Pictures,R,Horror
2733,5/31/2013,The East,6500000.0,2274649.0,3027956.0,Other,PG-13,Drama
2734,11/13/2009,The Messenger,6500000.0,1109660.0,1744952.0,Other,R,Drama
2735,7/23/2004,A Home at the End of the World,6500000.0,1029017.0,1033810.0,Other,R,Drama
2736,10/26/1984,The Terminator,6400000.0,38019031.0,78019031.0,Other,R,Action
2737,2/27/2004,"Good Bye, Lenin!",6400000.0,4063859.0,79384539.0,Other,R,Comedy
2738,10/10/2007,Control,6400000.0,871577.0,8902141.0,Other,R,Drama
2739,10/9/2009,The Damned United,6400000.0,449865.0,4199874.0,Other,R,Drama
2740,2/22/2008,Die Fälscher,6250000.0,5488570.0,20199663.0,Other,R,Drama
2742,10/20/1995,Mallrats,6100000.0,2108367.0,2108367.0,Other,R,Comedy
2743,12/19/1986,Platoon,6000000.0,137963328.0,137978395.0,Other,R,Drama
2744,9/19/1980,Ordinary People,6000000.0,52302978.0,52302978.0,Paramount Pictures,R,Drama
2745,10/17/1956,Around the World in 80 Days,6000000.0,42000000.0,42000000.0,Other,PG,Adventure
2747,3/23/2001,The Brothers,6000000.0,27457409.0,27958191.0,Sony Pictures,R,Comedy
2748,12/17/2008,The Wrestler,6000000.0,26238243.0,46634275.0,Other,R,Drama
2749,6/30/1989,Do the Right Thing,6000000.0,26004026.0,26004026.0,Universal,R,Comedy
2751,7/16/1999,The Wood,6000000.0,25059640.0,25059640.0,Paramount Pictures,R,Comedy
2752,8/16/1995,The Usual Suspects,6000000.0,23341568.0,34449356.0,Other,R,Drama
2753,4/5/2002,National Lampoon’s Van Wilder,6000000.0,21305259.0,39241323.0,Other,R,Comedy
